Title,Developer,Publisher,First released,JP,EU,NA
Arabians Lost: The Engagement on Desert,QuinRose,"Prototype, QuinRose",2007-10-11JP,✔,,
"Arc the Lad: End of Darkness
•Arc the Lad: GenerationJP",Cattle Call,"Sony Computer EntertainmentJP, NamcoNA",2004-11-03JP,✔,,✔
"Arc the Lad: Twilight of the Spirits
•Arc: Twilight of the SpiritsEU
•Arc the Lad: Seirei no KoukonJP",Cattle Call,Sony Computer Entertainment,2003-03-20JP,✔,✔,✔
Arcade Action: 30 Games,SG Diffusion,Phoenix Games,2004-11-19PAL,,✔,
Arcade Classics Volume One,Play It!,Play It!,2006-04-21PAL,,✔,
Arcade USA,Mere Mortals,Phoenix Games,2006-04-21AU,,✔,
Arcana Heart,Konami Examu Entertainment inc.,"AQ InteractiveJP, AtlusUS",2007-10-11JP,✔,,✔
Arcobaleno!,Idea Factory,Idea Factory,2009-05-14JP,✔,,
Arctic Thunder,Inland Productions,Midway Games,2001-09-17NA,,✔,✔
Are You Smarter Than a 5th Grader: Make the Grade,ImaginEngine,THQ,2008-10-20NA,,,✔
Area 51,Midway Studios Austin,"Midway GamesNA, PAL, Success CorporationJP",2005-04-25NA,✔,✔,✔
Arena Football,EA Tiburon,EA Sports,2006-02-07NA,,,✔
Arena Football: Road to Glory,Budcat,EA Sports,2007-02-20NA,,,✔
Aria: The Natural ~Tooi Yume no Mirage~,Regista,Alchemist,2006-09-28JP,✔,,
Aria: The Origination ~Aoi Hoshi no Il Cielo~,Regista,Alchemist,2008-06-26JP,✔,,
Armen Noir,Otomate,Idea Factory,2010-12-09JP,✔,,
Armored Core: Formula Front,FromSoftware,FromSoftware,2005-03-03JP,✔,,
Armored Core: Last Raven,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesPAL",2005-08-04JP,✔,✔,✔
Armored Core: Nexus,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Indie GamesEU",2004-03-18JP,✔,✔,✔
Armored Core: Nine Breaker,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, 505 GamesEU",2004-10-28JP,✔,✔,✔
Armored Core 2,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, UbisoftEU",2000-08-03JP,✔,✔,✔
Armored Core 2: Another Age,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",2001-04-12JP,✔,✔,✔
Armored Core 3,FromSoftware,"FromSoftwareJP, Agetec Inc.NA, Metro3DEU",2002-04-04JP,✔,✔,✔
"Army Men: Air Attack 2
•Army Men: Air Attack – Blade's RevengeEU",3DO,3DO,2001-03-23NA,,✔,✔
Army Men: Green Rogue,3DO,3DO,2001-03-25NA,,✔,✔
Army Men: Major Malfunction,Global Star Software,Global Star Software,2006-08-04PAL,,✔,
"Army Men: RTS
•Totsugeki! Army Men: Shijou Saishou no SakusenJP",Pandemic Studios,"3DONA, EU, CapcomJP",2002-03-27NA,✔,✔,✔
Army Men: Sarge's Heroes 2,3DO,"3DONA, MidasEU",2001-01-03EU,,✔,✔
Army Men: Sarge's War,Tactical Development,Global Star Software,2004-07-23PAL,,✔,
Army Men: Soldiers of Misfortune,Big Blue Bubble,DSI Games,2008-11-04NA,,,✔
"Art of Fighting Anthology
•Ryuuko no Ken: Ten-Chi-JinJP",SNK Playmore,"SNK Playmore, Crave EntertainmentEU",2005-11-06JP,✔,✔,✔
"Arthur and the Invisibles: The Game
•Arthur and the MinimoysEU
•Arthur and the InvisiblesUK/AU",Etranges Libellules,Atari,2007-01-09NA,,✔,✔
Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami,Konami,2003-12-04JP,✔,,
Ashita no Joe 2: The Anime Super Remix,Capcom,Capcom,2002-06-20JP,✔,,
Ashita no Joe Touchi: Typing Namida Hashi,Dual,SunSoft,2001-03-29JP,✔,,
Asobi ni Iku Yo!,Design Factory,Idea Factory,2006-07-27JP,✔,,
"Assault Suits Valken
•Juusou Kihei ValkenJP",Psikyo,"NCSJP, X-NautsKO, 505 Game StreetEU",2004-08-26JP,"✔JP, KO",✔,
"Asterix & Obelix: Kick Buttix
•Asterix & Obelix XXLEU",Etranges Libellules,Atari Europe,2004-03-19EU,,✔,✔
Asterix & Obelix XXL 2: Mission: Las Vegum,Etranges Libellules,Atari Europe,2006-06-30EU,,✔,
Asterix at the Olympic Games,Etranges Libellules,Atari Europe,2008-02-28AU,,✔,
"Astro Boy
•Astro Boy: Tetsuwan AtomJP",Sonic Team,Sega,2004-03-18JP,✔,✔,✔
Astro Boy: The Video Game,High Voltage Software,D3 Publisher,2009-10-20NA,,✔,✔
Astro Kyuudan: Kessen!! Victory Kyuudanhen,Sunrise Interactive,Sunrise Interactive,2005-11-23JP,✔,,
Atari Anthology,Digital Eclipse,Atari,2004-11-22NA,,✔,✔
"Atelier Iris: Eternal Mana
•Iris no Atelier: Eternal ManaJP",Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2004-05-27JP,✔,✔,✔
"Atelier Iris 2: The Azoth of Destiny
•Iris no Atelier: Eternal Mana 2JP",Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2005-05-26JP,✔,✔,✔
"Atelier Iris 3: Grand Phantasm
•Iris no Atelier: Grand FantasmJP",Gust,"GustJP, NIS AmericaNA, KoeiEU, THQAU",2006-06-29JP,✔,✔,✔
Atelier Marie + Elie,Gust,Gust,2005-10-27JP,✔,,
Athens 2004,Eurocom Entertainment Software,Sony Computer Entertainment,2004-07-02EU,✔,✔,✔
Atlantis III: The New World,Cryo Interactive,Cryo Interactive,2002-02-08EU,,✔,
"A-Train 6
•A6: A-Ressha de Ikou 6JP",Artdink,"ArtdinkJP, Midas Interactive EntertainmentEU",2000-03-04JP,✔,✔,
"ATV Offroad Fury
•ATV OffroadEU",Rainbow Studios,Sony Computer Entertainment,2001-02-05NA,,✔,✔
